songid,week,total_weeks,cum_week,performer,song,genre,trackid,url,album,explicit,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Look Back At ItA Boogie Wit da Hoodie,27,29,28,A Boogie Wit da Hoodie,Look Back At It,"['melodic rap', 'pop rap', 'rap', 'trap']",3Ol2xnObFdKV9pmRD2t9x8,https://p.scdn.co/mp3-preview/1791d957e2bad3063228db3750f1f71670764842?cid=b8d3901151d34489a160e3cf0ab1fa94,Hoodie SZN,TRUE,179449,83,0.791,0.587,3,-5.075,0,0.0413,0.407,0,0.148,0.536,96.057,4
Look What God Gave HerThomas Rhett,27,20,18,Thomas Rhett,Look What God Gave Her,"['contemporary country', 'country', 'country road', 'modern country rock']",2KqJC0koTBUyDlsMt5ok1V,,Center Point Road,FALSE,168960,76,0.739,0.85,2,-3.966,1,0.0308,0.0272,0,0.181,0.883,113,4
ME!Taylor Swift Featuring Brendon Urie,27,20,11,Taylor Swift Featuring Brendon Urie,ME!,"['pop', 'post-teen pop']",2Rk4JlNc2TPmZe2af99d45,,Lover,FALSE,193000,86,0.61,0.83,0,-4.105,1,0.0571,0.033,0,0.118,0.728,182.162,4
Middle ChildJ. Cole,27,27,24,J. Cole,Middle Child,"['conscious hip hop', 'hip hop', 'nc hip hop', 'pop rap', 'rap']",2JvzF1RMd7lE3KmFlsyZD8,,MIDDLE CHILD,TRUE,213593,87,0.837,0.364,8,-11.713,1,0.276,0.149,0,0.271,0.463,123.984,4
Money In The GraveDrake Featuring Rick Ross,27,23,3,Drake Featuring Rick Ross,Money In The Grave,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",5ry2OE6R2zPQFDO85XkgRb,,The Best In The World Pack,TRUE,205426,89,0.831,0.502,10,-4.045,0,0.046,0.101,0,0.122,0.101,100.541,4
My TypeSaweetie,27,20,1,Saweetie,My Type,"['cali rap', 'pop', 'pop rap', 'trap queen']",5KBARWIxeMGkvUax9VtVC9,https://p.scdn.co/mp3-preview/7a97ae9661d1c1acefeccf2b356435e722f547ae?cid=b8d3901151d34489a160e3cf0ab1fa94,ICY,TRUE,126446,81,0.899,0.811,2,-6.294,1,0.258,0.000677,0,0.0672,0.587,105.038,4
No GuidanceChris Brown Featuring Drake,27,28,4,Chris Brown Featuring Drake,No Guidance,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",6XHVuErjQ4XNm6nDPVCxVX,https://p.scdn.co/mp3-preview/7c3bc7b4d1741a001463b570fe29f922d9c42bd6?cid=b8d3901151d34489a160e3cf0ab1fa94,Indigo,TRUE,260640,87,0.698,0.454,1,-6.756,0,0.151,0.123,0,0.155,0.137,92.932,4
Old Town RoadLil Nas X Featuring Billy Ray Cyrus,27,42,18,Lil Nas X Featuring Billy Ray Cyrus,Old Town Road,"['country rap', 'lgbtq+ hip hop', 'pop rap']",2YpeDb67231RjR0MgVLzsG,https://p.scdn.co/mp3-preview/d94ec2ebe62fd52cf038760f57c251c145346bb2?cid=b8d3901151d34489a160e3cf0ab1fa94,7 EP,FALSE,157066,91,0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,4
One Thing RightMarshmello & Kane Brown,27,23,2,Marshmello & Kane Brown,One Thing Right,"['brostep', 'progressive electro house']",4hPpVbbakQNv8YTHYaOJP4,https://p.scdn.co/mp3-preview/86a860d6266e657a2a47b7c2266a9a98c1ba564d?cid=b8d3901151d34489a160e3cf0ab1fa94,One Thing Right,FALSE,181823,86,0.659,0.623,4,-2.253,1,0.0451,0.0667,0,0.582,0.439,88.042,4
PaniniLil Nas X,27,26,2,Lil Nas X,Panini,"['country rap', 'lgbtq+ hip hop', 'pop rap']",6fTt0CH2t0mdeB2N9XFG5r,https://p.scdn.co/mp3-preview/8871fb467ee763bec16fe5260c103a1bb9e852d4?cid=b8d3901151d34489a160e3cf0ab1fa94,7 EP,FALSE,114893,85,0.703,0.594,5,-6.146,0,0.0752,0.342,0,0.123,0.475,153.848,4
Please MeCardi B & Bruno Mars,27,20,20,Cardi B & Bruno Mars,Please Me,"['pop', 'pop rap', 'rap']",0PG9fbaaHFHfre2gUVo7AN,https://p.scdn.co/mp3-preview/a25d43f3262e07622ba8876b10d7a56d069eea05?cid=b8d3901151d34489a160e3cf0ab1fa94,Please Me,TRUE,200889,79,0.747,0.57,1,-6.711,1,0.081,0.0642,0,0.0832,0.65,133.992,4
Pop OutPolo G Featuring Lil Tjay,27,27,15,Polo G Featuring Lil Tjay,Pop Out,['chicago rap'],6uFn47ACjqYkc0jADwEdj1,https://p.scdn.co/mp3-preview/505ae166c11669c630873c84719b6eb1346fd097?cid=b8d3901151d34489a160e3cf0ab1fa94,Die A Legend,TRUE,166560,86,0.772,0.639,1,-7.119,1,0.467,0.15,0,0.0698,0.261,168.112,4
Pure WaterMustard & Migos,27,25,23,Mustard & Migos,Pure Water,"['cali rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",3j84U36KvLeXNDPv4t5pI8,,Perfect Ten,TRUE,192470,85,0.682,0.559,0,-5.545,1,0.127,0.174,0,0.344,0.137,202.015,4
RumorLee Brice,27,20,17,Lee Brice,Rumor,"['contemporary country', 'country', 'country road', 'modern country rock']",56eGOeSsqdg3FLxdo83TwV,https://p.scdn.co/mp3-preview/ebbbb748e7e30c64c88cf3dbc71237aad0818657?cid=b8d3901151d34489a160e3cf0ab1fa94,Lee Brice,FALSE,198440,77,0.655,0.56,9,-6.857,1,0.0486,0.749,0,0.115,0.599,140.975,4
SenoritaShawn Mendes & Camila Cabello,27,26,2,Shawn Mendes & Camila Cabello,Senorita,"['canadian pop', 'pop', 'post-teen pop', 'viral pop']",0TK2YIli7K1leLovkQiNik,,Se±orita,FALSE,190960,94,0.759,0.54,9,-6.039,0,0.0287,0.037,0,0.0945,0.75,116.947,4
ShallowLady Gaga & Bradley Cooper,27,33,28,Lady Gaga & Bradley Cooper,Shallow,"['dance pop', 'pop']",2VxeLyX666F8uXCJ0dZF8B,,A Star Is Born Soundtrack,FALSE,215733,89,0.572,0.385,7,-6.362,1,0.0308,0.371,0,0.231,0.323,95.799,4
Shotta FlowNLE Choppa,27,20,11,NLE Choppa,Shotta Flow,['memphis hip hop'],67XyC1GdSkKb9sbRRkUDXS,https://p.scdn.co/mp3-preview/d2c7eadbe6a669d19ee61ed31e27cd1eba007ce4?cid=b8d3901151d34489a160e3cf0ab1fa94,Shotta Flow (Feat. Blueface,TRUE,176631,83,0.894,0.511,2,-4.768,1,0.42,0.0251,0,0.14,0.568,120.08,4
Sicko ModeTravis Scott,27,32,28,Travis Scott,Sicko Mode,['rap'],2xLMifQCjDGFmkHkpNLD9h,https://p.scdn.co/mp3-preview/1c3c01c64477b356e28a652b6447f4ef96689a71?cid=b8d3901151d34489a160e3cf0ab1fa94,ASTROWORLD,TRUE,312820,88,0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,4
Someone You LovedLewis Capaldi,27,32,8,Lewis Capaldi,Someone You Loved,"['pop', 'uk pop']",7qEHsqek33rTcFNT9PFqLf,,Divinely Uninspired To A Hellish Extent,FALSE,182160,96,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,4
SpeechlessDan + Shay,27,25,13,Dan + Shay,Speechless,"['contemporary country', 'pop']",3GJ4hzg4lrGwU51Y3VARbF,https://p.scdn.co/mp3-preview/69de5cae36cc21287d66bcb93f3ba178198615c5?cid=b8d3901151d34489a160e3cf0ab1fa94,Dan + Shay,FALSE,213386,80,0.616,0.438,1,-5.968,1,0.0298,0.356,0,0.24,0.386,135.929,4
SuckerJonas Brothers,27,38,18,Jonas Brothers,Sucker,"['boy band', 'dance pop', 'pop', 'pop rock', 'post-teen pop']",22vgEDb5hykfaTwLuskFGD,,Happiness Begins,FALSE,181026,87,0.842,0.734,1,-5.065,0,0.0588,0.0427,0,0.106,0.952,137.958,4
SugeDaBaby,27,35,14,DaBaby,Suge,"['nc hip hop', 'rap']",2gwkD6igEhQbDQegRCcdoB,,Baby On Baby,TRUE,163320,88,0.876,0.662,2,-6.482,0,0.426,0.0608,0,0.127,0.844,75.445,4
Sweet But PsychoAva Max,27,34,28,Ava Max,Sweet But Psycho,"['dance pop', 'pop', 'post-teen pop']",25sgk305KZfyuqVBQIahim,https://p.scdn.co/mp3-preview/9772598a67666a9b7184926c59fe15b9574c7e46?cid=b8d3901151d34489a160e3cf0ab1fa94,Sweet but Psycho,FALSE,187436,89,0.719,0.704,1,-4.724,1,0.0476,0.0691,0,0.166,0.628,133.002,4
Talk You Out Of ItFlorida Georgia Line,27,26,20,Florida Georgia Line,Talk You Out Of It,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",4qQwGRtGT7l6ckQtdPEFd4,,Can't Say I Ain't Country,FALSE,202920,75,0.651,0.708,4,-4.791,1,0.0376,0.582,0,0.0796,0.558,119.964,4
TalkKhalid,27,43,21,Khalid,Talk,"['alternative r&b', 'pop']",6TqXcAFInzjp0bODyvrWEq,https://p.scdn.co/mp3-preview/2fb54a9c23ec3124319df5739aa081bf9183fa8b?cid=b8d3901151d34489a160e3cf0ab1fa94,Free Spirit,FALSE,197573,84,0.901,0.4,0,-8.575,1,0.126,0.051,0,0.0599,0.346,135.984,4
The Git UpBlanco Brown,27,20,4,Blanco Brown,The Git Up,['country rap'],2KKijf6Ett4kmVNJze2roh,https://p.scdn.co/mp3-preview/bf19add55f2da6c1095f0d2a5fc47fdf0c6c0634?cid=b8d3901151d34489a160e3cf0ab1fa94,Honeysuckle & Lightning Bugs,FALSE,200593,82,0.847,0.678,9,-8.635,1,0.109,0.0669,0,0.274,0.811,97.984,4
"The LondonYoung Thug, J. Cole & Travis Scott",27,20,6,"Young Thug, J. Cole & Travis Scott",The London,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'pop rap', 'rap', 'trap']",7DcvwMAiqKJQD1rrdfxSDx,https://p.scdn.co/mp3-preview/1172c366301561c0e3adc84ffdf95f8fd760ca54?cid=b8d3901151d34489a160e3cf0ab1fa94,The London,TRUE,200106,85,0.796,0.586,4,-6.946,0,0.147,0.0247,0,0.132,0.179,97.981,4
TrampolineSHAED,27,29,5,SHAED,Trampoline,"['electropop', 'pop']",1iQDltZqI7BXnHrFy4Qo1k,,Trampoline (with ZAYN),FALSE,184280,92,0.619,0.459,7,-5.782,0,0.0334,0.56,0,0.137,0.498,126.803,4
Truth HurtsLizzo,27,33,9,Lizzo,Truth Hurts,"['escape room', 'minnesota hip hop', 'pop', 'pop rap', 'trap queen']",5qmq61DAAOUaW8AUo8xKhh,https://p.scdn.co/mp3-preview/c8bdc870ffc6044c84f0d52306a35551fb3d0263?cid=b8d3901151d34489a160e3cf0ab1fa94,Cuz I Love You (Deluxe),TRUE,173325,90,0.715,0.624,4,-3.046,0,0.114,0.11,0,0.123,0.412,158.087,4
Walk Me HomeP!nk,27,20,18,P!nk,Walk Me Home,"['dance pop', 'pop', 'post-teen pop']",7DHApOHsIFo7EyfieArYGE,https://p.scdn.co/mp3-preview/44e8764f6028b38a76a48e98d6d2f6019e60d14e?cid=b8d3901151d34489a160e3cf0ab1fa94,Walk Me Home,FALSE,177390,77,0.652,0.453,1,-6.119,1,0.0445,0.0519,0,0.179,0.432,88.038,3
Whiskey GlassesMorgan Wallen,27,27,18,Morgan Wallen,Whiskey Glasses,"['contemporary country', 'country road', 'deep talent show']",6foY66mWZN0pSRjZ408c00,https://p.scdn.co/mp3-preview/95ac7dba403384cdb429dc9a838a889a6579ecb2?cid=b8d3901151d34489a160e3cf0ab1fa94,If I Know Me,FALSE,234346,81,0.614,0.68,6,-4.58,1,0.0289,0.369,1.84E-06,0.115,0.707,149.959,4
Without MeHalsey,27,41,28,Halsey,Without Me,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']",5p7ujcrUXASCNwRaWNHR1C,,Without Me,TRUE,201660,90,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11E-06,0.0936,0.533,136.041,4
Worth ItYK Osiris,27,25,20,YK Osiris,Worth It,"['deep pop r&b', 'melodic rap', 'pop rap', 'trap']",4XiGKQqbmnMVxDzUj6j3f2,,Worth It,FALSE,189253,78,0.764,0.528,5,-4.082,0,0.0588,0.468,0,0.0811,0.422,123.936,5
Wow.Post Malone,27,44,28,Post Malone,Wow.,"['dfw rap', 'melodic rap', 'rap']",7xQAfvXzm3AkraOtGPWIZg,,Hollywood's Bleeding,TRUE,149546,90,0.829,0.539,11,-7.359,0,0.208,0.136,1.78E-06,0.103,0.388,99.96,4
You Need To Calm DownTaylor Swift,27,21,3,Taylor Swift,You Need To Calm Down,"['dance pop', 'pop', 'post-teen pop']",6RRNNciQGZEXnqk8SQ9yv5,,Lover,FALSE,171360,86,0.771,0.671,2,-5.617,1,0.0553,0.00929,0,0.0637,0.714,85.026,4
7 RingsAriana Grande,28,33,25,Ariana Grande,7 Rings,"['dance pop', 'pop', 'post-teen pop']",6ocbgoVGwYJhOv1GgI9NsF,,thank,TRUE,178626,91,0.778,0.317,1,-10.732,0,0.334,0.592,0,0.0881,0.327,140.048,4
Act UpCity Girls,28,21,19,City Girls,Act Up,"['pop', 'pop rap', 'trap queen']",3A2yGHWIzmGEIolwonU69h,,Girl Code,TRUE,158332,80,0.938,0.638,8,-4.713,1,0.189,0.0167,0,0.111,0.313,97.075,4
All To MyselfDan + Shay,28,20,10,Dan + Shay,All To Myself,"['contemporary country', 'pop']",08tq1XcHwVt5PHXUo87i0D,https://p.scdn.co/mp3-preview/65db44647a32d7b351b163a7f674af68ff3d3e68?cid=b8d3901151d34489a160e3cf0ab1fa94,Dan + Shay,FALSE,169920,74,0.646,0.781,1,-4.616,1,0.0313,0.208,0,0.125,0.565,94.975,4
Bad GuyBillie Eilish,28,38,15,Billie Eilish,Bad Guy,"['electropop', 'pop']",2Fxmhks0bxGSBdJ92vM42m,,WHEN WE ALL FALL ASLEE,FALSE,194087,96,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,4
Beautiful PeopleEd Sheeran Featuring Khalid,28,24,2,Ed Sheeran Featuring Khalid,Beautiful People,"['pop', 'uk pop']",4evmHXcjt3bTUHD1cvny97,https://p.scdn.co/mp3-preview/f94d8d0c1b37773ff493e7d83930545e3425ccd3?cid=b8d3901151d34489a160e3cf0ab1fa94,Beautiful People (feat. Khalid),FALSE,197866,90,0.64,0.648,5,-8.113,0,0.187,0.124,0,0.0802,0.548,92.977,4
Beer Never Broke My HeartLuke Combs,28,21,10,Luke Combs,Beer Never Broke My Heart,['contemporary country'],3RzcoFkZ0AOp2nH71jP504,https://p.scdn.co/mp3-preview/6a1fbf9017964d3ad2d1f11cf9288bc2eadd9c04?cid=b8d3901151d34489a160e3cf0ab1fa94,What You See Is What You Get,FALSE,186733,79,0.54,0.863,1,-4.483,1,0.0481,0.0138,0,0.0874,0.64,77,4
BetterKhalid,28,34,29,Khalid,Better,"['alternative r&b', 'pop']",6zeeWid2sgw4lap2jV61PZ,https://p.scdn.co/mp3-preview/59f5d00716f1746194f556bd3fa05b1439533598?cid=b8d3901151d34489a160e3cf0ab1fa94,Suncity,FALSE,229320,82,0.596,0.552,0,-10.278,0,0.097,0.0765,0.334,0.104,0.112,97.949,4
CallaitaBad Bunny & Tainy,28,20,5,Bad Bunny & Tainy,Callaita,"['latin', 'reggaeton', 'trap latino']",2TH65lNHgvLxCKXM3apjxI,https://p.scdn.co/mp3-preview/23c0b25cf824c1bfd7a814fe7cd1264c31a5a9dc?cid=b8d3901151d34489a160e3cf0ab1fa94,Callaita,TRUE,250533,92,0.61,0.624,2,-4.773,1,0.309,0.6,2.12E-06,0.243,0.244,176.169,4
Cash ShitMegan Thee Stallion Featuring DaBaby,28,20,3,Megan Thee Stallion Featuring DaBaby,Cash Shit,"['houston rap', 'pop', 'pop rap', 'trap queen']",2rMAtCaTj16NptyVfEIeAC,https://p.scdn.co/mp3-preview/887df8fd3f1a55e6b707e48ac3760d6e8c118184?cid=b8d3901151d34489a160e3cf0ab1fa94,Fever,TRUE,192539,81,0.921,0.635,1,-4.904,1,0.416,0.0218,0,0.0946,0.549,130.028,4
CloutOffset Featuring Cardi B,28,20,14,Offset Featuring Cardi B,Clout,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",59ywHNwwchG4nZJMLyxSzd,,FATHER OF 4,TRUE,205803,80,0.919,0.622,1,-7.384,1,0.0997,0.228,4.24E-06,0.122,0.424,140.022,4
Con CalmaDaddy Yankee & Katy Perry Featuring Snow,28,25,23,Daddy Yankee & Katy Perry Featuring Snow,Con Calma,"['latin', 'latin hip hop', 'reggaeton', 'tropical']",5w9c2J52mkdntKOmRLeM2m,,Con Calma,FALSE,193226,88,0.737,0.86,8,-2.652,0,0.0593,0.11,1.94E-06,0.0574,0.656,93.989,4
Dancing With A StrangerSam Smith & Normani,28,45,26,Sam Smith & Normani,Dancing With A Stranger,"['pop', 'uk pop']",6Qs4SXO9dwPj5GKvVOv8Ki,,Dancing With A Stranger (with Normani),FALSE,171029,89,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97E-06,0.222,0.347,102.998,4
"Eastsidebenny blanco, Halsey & Khalid",28,29,29,"benny blanco, Halsey & Khalid",Eastside,"['dance pop', 'pop', 'pop rap', 'tropical house']",0d2iYfpKoM0QCKvcLCkBao,,Eastside (with Halsey & Khalid),FALSE,173799,84,0.56,0.68,6,-7.648,0,0.321,0.555,0,0.116,0.319,89.391,4
GIRLMaren Morris,28,21,19,Maren Morris,GIRL,"['contemporary country', 'pop', 'texas country']",3y5B5ebFMzEEFqCPOesAXR,https://p.scdn.co/mp3-preview/6d9117232204a352333ba7f29a9f6534c8457a9e?cid=b8d3901151d34489a160e3cf0ab1fa94,GIRL,FALSE,250653,72,0.44,0.793,6,-3.95,1,0.0502,0.0677,0,0.0788,0.447,143.599,4
God's CountryBlake Shelton,28,23,15,Blake Shelton,God's Country,"['contemporary country', 'country', 'country road', 'oklahoma country']",1dyxS3YzBbL0t8rEVwVQ1K,https://p.scdn.co/mp3-preview/4090618c91ecefd9120f21a030f562457b0186ac?cid=b8d3901151d34489a160e3cf0ab1fa94,God's Country,FALSE,205106,78,0.538,0.752,10,-5.106,1,0.0396,0.0608,5.39E-06,0.118,0.217,139.984,4
Going BadMeek Mill Featuring Drake,28,34,29,Meek Mill Featuring Drake,Going Bad,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",2IRZnDFmlqMuOrYOLnZZyc,https://p.scdn.co/mp3-preview/29e19c68dd853994221a90103db28427f1185e33?cid=b8d3901151d34489a160e3cf0ab1fa94,Championships,TRUE,180522,87,0.889,0.496,4,-6.365,0,0.0905,0.259,0,0.252,0.544,86.003,4
Good As YouKane Brown,28,20,20,Kane Brown,Good As You,"['contemporary country', 'country road']",19kUPdKTp85q9RZNwaXM15,https://p.scdn.co/mp3-preview/305d6a3ac88fc268d56bc79a9bfba96c61a9a831?cid=b8d3901151d34489a160e3cf0ab1fa94,Experiment,FALSE,192053,75,0.634,0.516,8,-6.05,1,0.0373,0.4,0,0.142,0.769,153.831,4
GoodbyesPost Malone Featuring Young Thug,28,21,1,Post Malone Featuring Young Thug,Goodbyes,"['dfw rap', 'melodic rap', 'rap']",0t3ZvGKlmYmVsDzBJAXK8C,,Hollywood's Bleeding,TRUE,174853,91,0.548,0.653,5,-3.875,1,0.081,0.456,0,0.103,0.163,150.068,4
HappierMarshmello & Bastille,28,34,29,Marshmello & Bastille,Happier,"['brostep', 'progressive electro house']",2dpaYNEQHiRxtZbfNsse99,,Happier,FALSE,214289,90,0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,4
"Hey Look Ma, I Made ItPanic! At The Disco",28,22,13,Panic! At The Disco,"Hey Look Ma, I Made It","['baroque pop', 'emo', 'modern rock']",22oEJW6r2rMb9z4IntfyEa,https://p.scdn.co/mp3-preview/724c46d8f0fb7ad7277eb244f1f865d33cd1f246?cid=b8d3901151d34489a160e3cf0ab1fa94,Pray for the Wicked,FALSE,169666,80,0.577,0.833,5,-3.337,1,0.0695,0.0137,0,0.121,0.58,107.936,4
High HopesPanic! At The Disco,28,32,29,Panic! At The Disco,High Hopes,"['baroque pop', 'emo', 'modern rock']",1rqqCSm0Qe4I9rUvWncaom,https://p.scdn.co/mp3-preview/f6404b1b3199442271c17d9e1461c3f2a52018f8?cid=b8d3901151d34489a160e3cf0ab1fa94,Pray for the Wicked,FALSE,190946,88,0.579,0.904,5,-2.729,1,0.0618,0.193,0,0.064,0.681,82.014,4
I Don't CareEd Sheeran & Justin Bieber,28,30,9,Ed Sheeran & Justin Bieber,I Don't Care,"['pop', 'uk pop']",3HVWdVOQ0ZA45FuZGSfvns,https://p.scdn.co/mp3-preview/40d2bf0a16b4a4c7e5747a57943f9c0bbf5bc5ab?cid=b8d3901151d34489a160e3cf0ab1fa94,I Don't Care (with Justin Bieber),FALSE,219946,91,0.798,0.675,6,-5.041,1,0.0442,0.0912,0,0.0894,0.842,101.956,4
I Don't Know About YouChris Lane,28,20,1,Chris Lane,I Don't Know About You,['contemporary country'],3yOs8FffuG6hPbzQG9lIqV,https://p.scdn.co/mp3-preview/cd9770406745703e8927b26b58e64af577cdcb9c?cid=b8d3901151d34489a160e3cf0ab1fa94,Laps Around The Sun,FALSE,207933,75,0.593,0.81,1,-5.733,1,0.0625,0.602,0,0.119,0.712,144.011,4
If I Can't Have YouShawn Mendes,28,23,10,Shawn Mendes,If I Can't Have You,"['canadian pop', 'pop', 'post-teen pop', 'viral pop']",6LsAAHotRLMOHfCsSfYCsz,,If I Can't Have You,FALSE,190800,86,0.692,0.809,2,-4.198,1,0.0602,0.524,0,0.147,0.864,123.911,4
Knockin' BootsLuke Bryan,28,22,11,Luke Bryan,Knockin' Boots,"['contemporary country', 'country', 'country road']",6ERR6e7h6wCqGoz1TjiUJb,,Knockin' Boots,FALSE,199382,76,0.739,0.682,2,-3.728,1,0.205,0.129,0,0.328,0.634,131.983,4
LalalaY2K & bbno$,28,21,2,Y2K & bbno$,Lalala,['pop rap'],51Fjme0JiitpyXKuyQiCDo,https://p.scdn.co/mp3-preview/3fa108534da58a2782b9c60b1c3a2d0aa18fb451?cid=b8d3901151d34489a160e3cf0ab1fa94,Lalala,TRUE,160626,92,0.843,0.391,2,-7.899,1,0.0845,0.181,0,0.137,0.496,129.972,4
Look Back At ItA Boogie Wit da Hoodie,28,29,29,A Boogie Wit da Hoodie,Look Back At It,"['melodic rap', 'pop rap', 'rap', 'trap']",3Ol2xnObFdKV9pmRD2t9x8,https://p.scdn.co/mp3-preview/1791d957e2bad3063228db3750f1f71670764842?cid=b8d3901151d34489a160e3cf0ab1fa94,Hoodie SZN,TRUE,179449,82,0.791,0.587,3,-5.075,0,0.0413,0.407,0,0.148,0.536,96.057,4
Look What God Gave HerThomas Rhett,28,20,19,Thomas Rhett,Look What God Gave Her,"['contemporary country', 'country', 'country road', 'modern country rock']",2KqJC0koTBUyDlsMt5ok1V,,Center Point Road,FALSE,168960,76,0.739,0.85,2,-3.966,1,0.0308,0.0272,0,0.181,0.883,113,4
ME!Taylor Swift Featuring Brendon Urie,28,20,12,Taylor Swift Featuring Brendon Urie,ME!,"['pop', 'post-teen pop']",2Rk4JlNc2TPmZe2af99d45,,Lover,FALSE,193000,86,0.61,0.83,0,-4.105,1,0.0571,0.033,0,0.118,0.728,182.162,4
Middle ChildJ. Cole,28,27,25,J. Cole,Middle Child,"['conscious hip hop', 'hip hop', 'nc hip hop', 'pop rap', 'rap']",2JvzF1RMd7lE3KmFlsyZD8,,MIDDLE CHILD,TRUE,213593,87,0.837,0.364,8,-11.713,1,0.276,0.149,0,0.271,0.463,123.984,4
Money In The GraveDrake Featuring Rick Ross,28,23,4,Drake Featuring Rick Ross,Money In The Grave,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",5ry2OE6R2zPQFDO85XkgRb,,The Best In The World Pack,TRUE,205426,89,0.831,0.502,10,-4.045,0,0.046,0.101,0,0.122,0.101,100.541,4
My TypeSaweetie,28,20,2,Saweetie,My Type,"['cali rap', 'pop', 'pop rap', 'trap queen']",5KBARWIxeMGkvUax9VtVC9,https://p.scdn.co/mp3-preview/7a97ae9661d1c1acefeccf2b356435e722f547ae?cid=b8d3901151d34489a160e3cf0ab1fa94,ICY,TRUE,126446,81,0.899,0.811,2,-6.294,1,0.258,0.000677,0,0.0672,0.587,105.038,4
No GuidanceChris Brown Featuring Drake,28,28,5,Chris Brown Featuring Drake,No Guidance,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",6XHVuErjQ4XNm6nDPVCxVX,https://p.scdn.co/mp3-preview/7c3bc7b4d1741a001463b570fe29f922d9c42bd6?cid=b8d3901151d34489a160e3cf0ab1fa94,Indigo,TRUE,260640,87,0.698,0.454,1,-6.756,0,0.151,0.123,0,0.155,0.137,92.932,4
Old Town RoadLil Nas X Featuring Billy Ray Cyrus,28,42,19,Lil Nas X Featuring Billy Ray Cyrus,Old Town Road,"['country rap', 'lgbtq+ hip hop', 'pop rap']",2YpeDb67231RjR0MgVLzsG,https://p.scdn.co/mp3-preview/d94ec2ebe62fd52cf038760f57c251c145346bb2?cid=b8d3901151d34489a160e3cf0ab1fa94,7 EP,FALSE,157066,91,0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,4
One Thing RightMarshmello & Kane Brown,28,23,3,Marshmello & Kane Brown,One Thing Right,"['brostep', 'progressive electro house']",4hPpVbbakQNv8YTHYaOJP4,https://p.scdn.co/mp3-preview/86a860d6266e657a2a47b7c2266a9a98c1ba564d?cid=b8d3901151d34489a160e3cf0ab1fa94,One Thing Right,FALSE,181823,86,0.659,0.623,4,-2.253,1,0.0451,0.0667,0,0.582,0.439,88.042,4
Only HumanJonas Brothers,28,27,4,Jonas Brothers,Only Human,"['boy band', 'dance pop', 'pop', 'pop rock', 'post-teen pop']",0DiDStADDVh3SvAsoJAFMk,,Happiness Begins,FALSE,183000,88,0.795,0.496,0,-5.883,1,0.0722,0.108,0,0.0645,0.874,94.01,4
PaniniLil Nas X,28,26,3,Lil Nas X,Panini,"['country rap', 'lgbtq+ hip hop', 'pop rap']",6fTt0CH2t0mdeB2N9XFG5r,https://p.scdn.co/mp3-preview/8871fb467ee763bec16fe5260c103a1bb9e852d4?cid=b8d3901151d34489a160e3cf0ab1fa94,7 EP,FALSE,114893,85,0.703,0.594,5,-6.146,0,0.0752,0.342,0,0.123,0.475,153.848,4
Pop OutPolo G Featuring Lil Tjay,28,27,16,Polo G Featuring Lil Tjay,Pop Out,['chicago rap'],6uFn47ACjqYkc0jADwEdj1,https://p.scdn.co/mp3-preview/505ae166c11669c630873c84719b6eb1346fd097?cid=b8d3901151d34489a160e3cf0ab1fa94,Die A Legend,TRUE,166560,86,0.772,0.639,1,-7.119,1,0.467,0.15,0,0.0698,0.261,168.112,4
Pure WaterMustard & Migos,28,25,24,Mustard & Migos,Pure Water,"['cali rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",3j84U36KvLeXNDPv4t5pI8,,Perfect Ten,TRUE,192470,85,0.682,0.559,0,-5.545,1,0.127,0.174,0,0.344,0.137,202.015,4
RumorLee Brice,28,20,18,Lee Brice,Rumor,"['contemporary country', 'country', 'country road', 'modern country rock']",56eGOeSsqdg3FLxdo83TwV,https://p.scdn.co/mp3-preview/ebbbb748e7e30c64c88cf3dbc71237aad0818657?cid=b8d3901151d34489a160e3cf0ab1fa94,Lee Brice,FALSE,198440,77,0.655,0.56,9,-6.857,1,0.0486,0.749,0,0.115,0.599,140.975,4
